name,bioguide_id,state,district,party,role,twitter,facebook,youtube,instagram,website
Ruben Gallego,G000574,AZ,,Democrat,Senator,RepRubenGallego,RepRubenGallego,,reprubengallego,https://www.gallego.senate.gov
Mark DeSaulnier,D000623,CA,10,Democrat,Representative,RepDeSaulnier,RepMarkDeSaulnier,,repdesaulnier,https://desaulnier.house.gov
Pete Aguilar,A000371,CA,33,Democrat,Representative,RepPeteAguilar,reppeteaguilar,,,https://aguilar.house.gov
Ted Lieu,L000582,CA,36,Democrat,Representative,RepTedLieu,RepTedLieu,,RepTedLieu,https://lieu.house.gov
Norma Torres,T000474,CA,35,Democrat,Representative,NormaJTorres,RepNormaTorres,,repnormatorres,https://torres.house.gov
Earl Carter,C001103,GA,1,Republican,Representative,RepBuddyCarter,congressmanbuddycarter,,repbuddycarter,https://buddycarter.house.gov
Barry Loudermilk,L000583,GA,11,Republican,Representative,RepLoudermilk,reploudermilk,,RepLoudermilk,https://loudermilk.house.gov
Rick Allen,A000372,GA,12,Republican,Representative,RepRickAllen,CongressmanRickAllen,,Rep_RickAllen,https://allen.house.gov
Mike Bost,B001295,IL,12,Republican,Representative,RepBost,RepBost,,,https://bost.house.gov
Seth Moulton,M001196,MA,6,Democrat,Representative,RepMoulton,CongressmanSethMoulton,,repmoulton,https://moulton.house.gov
John Moolenaar,M001194,MI,2,Republican,Representative,RepMoolenaar,RepMoolenaar,,RepMoolenaar,https://moolenaar.house.gov
Debbie Dingell,D000624,MI,6,Democrat,Representative,RepDebDingell,RepDebbieDingell,,repdingell,https://debbiedingell.house.gov
Tom Emmer,E000294,MN,6,Republican,Representative,RepTomEmmer,reptomemmer,RepTomEmmer,reptomemmer,https://emmer.house.gov
David Rouzer,R000603,NC,7,Republican,Representative,RepDavidRouzer,RepRouzer,,repdavidrouzer,https://rouzer.house.gov
Bonnie Watson Coleman,W000822,NJ,12,Democrat,Representative,RepBonnie,RepBonnie,,repbonnie,https://watsoncoleman.house.gov
Elise Stefanik,S001196,NY,21,Republican,Representative,RepStefanik,RepEliseStefanik,,repstefanik,https://stefanik.house.gov
Brendan Boyle,B001296,PA,2,Democrat,Representative,CongBoyle,CongressmanBoyle,,,https://boyle.house.gov
Brian Babin,B001291,TX,36,Republican,Representative,RepBrianBabin,RepBrianBabin,,,https://babin.house.gov
Donald Beyer,B001292,VA,8,Democrat,Representative,RepDonBeyer,RepDonBeyer,,repdonbeyer,https://beyer.house.gov
Stacey Plaskett,P000610,VI,0,Democrat,Representative,StaceyPlaskett,repstaceyplaskett,,stacey_plaskett,https://plaskett.house.gov
Dan Newhouse,N000189,WA,4,Republican,Representative,RepNewhouse,RepNewhouse,,repnewhouse,https://newhouse.house.gov
Glenn Grothman,G000576,WI,6,Republican,Representative,RepGrothman,RepGrothman,,repglenngrothman,https://grothman.house.gov
